longitude,latitude,id,group,type,name
-73.7911534,40.7400388,5155257112,2303,cafe,Star Care
-73.8392106,40.6548849,5155651004,2302,fast_food,East Meets West
-73.8402459,40.6594153,5155651009,2302,fast_food,KFC
-73.8131351,40.7891842,5155678963,2528,greengrocer,Rasberry Farm
-73.897702,40.7494987,5155761608,2303,cafe,Woodside Cafe
-73.8391985,40.6577528,5155775629,2302,fast_food,Subway
-74.1643261,40.6267228,5155822321,2302,fast_food,White Castle
-74.0758409,40.6272592,5155826751,2302,fast_food,Subway
-73.9501937,40.7065208,5156049422,2501,supermarket,Brooklyn Harvest Market
-73.9191914,40.7657215,5156147426,2303,cafe,La Sabrosura
-73.9190894,40.7659582,5156180444,2303,cafe,The Teapsy
-74.0006279,40.6055286,5159087925,2303,cafe,
-73.9210453,40.7668872,5159984903,2303,cafe,Freddo Coffee Pot Espresso
-73.9631726,40.7576516,5160028816,2302,fast_food,Dunkin'
-73.9631297,40.7577198,5160028818,2303,cafe,Sutton Cafe Restaurant
-73.7859814,40.8454043,5160036929,2303,cafe,Starving Artist Cafe
-73.8319011,40.8469918,5161985702,2528,greengrocer,Susan's Green Green Green Market
-73.9297143,40.6936921,5163776190,2303,cafe,BK Bagel
-73.9047396,40.6961473,5163827493,2302,fast_food,Hong Kong Express
-73.9055816,40.6960692,5163828345,2302,fast_food,Dunkin' Donuts
-73.9049682,40.6962604,5163830490,2303,cafe,C & B Luncheonette
-73.9054444,40.6994527,5163834120,2501,supermarket,Billy's Market Place
-73.9102614,40.6940505,5163873686,2528,greengrocer,El Conuco Acevedo Corp
-73.9265577,40.6921888,5163876845,2303,cafe,Hearts Cafe
-73.9261758,40.7033994,5163878627,2303,cafe,Foster Sundry
-74.0060718,40.7192673,5163989224,2303,cafe,Cafe Clementine
-73.9937439,40.7310188,5164012128,2302,fast_food,Dunkin'
-73.6398002,40.6364305,5164061807,2302,fast_food,BurgerFi
-73.7599329,42.7534924,5164174326,2302,fast_food,BurgerFi
-73.8554835,40.8358432,5166808796,2302,fast_food,Jerry's Pizza
-76.1600097,43.0771188,5167889508,2303,cafe,Easy Cafe
-73.9471258,40.7115377,5167955722,2303,cafe,Willburg Cafe
-73.2986985,40.8423635,5169162832,2302,fast_food,BURGERFI
-73.914814,40.7693293,5170130279,2303,cafe,Lemonia Cafe
-74.5938734,41.6244813,5171046227,2302,fast_food,Dunkin' Donuts
-74.7209506,41.7831563,5171046890,2501,supermarket,ShopRite
-73.9192757,40.8078255,5172257681,2302,fast_food,Texas Chicken & Burgers
-73.9167179,40.8158516,5172261072,2516,butcher,Butchers Choice 2
-73.9152722,40.8210149,5172261165,2501,supermarket,Key Food
-73.9011455,40.8200938,5172274610,2302,fast_food,Colony Fried Chicken
-73.8866465,40.8166978,5172751549,2302,fast_food,Chinese Fried Chicken
-73.8977444,40.8444226,5172775847,2302,fast_food,Dunkin'
-73.8978976,40.8427536,5172775848,2302,fast_food,Wendy's
-73.8790736,40.8409173,5172776900,2501,supermarket,Keyfoods
-74.0013728,40.7214812,5175559548,2303,cafe,Antique Garage
-73.8660624,40.8786421,5175561630,2528,greengrocer,Green Garden Health Food
-73.8655257,40.878283,5175564081,2501,supermarket,Fine Fare
-73.8647321,40.8656359,5175572197,2516,butcher,Family Pride Butcher Shop
-73.8514817,40.8428399,5175575937,2302,fast_food,2 Guys and A Chicken
-73.8555972,40.8482074,5175575939,2501,supermarket,Big Deal Food Market
-73.8550409,40.8488183,5175578583,2516,butcher,Morris Park Meat Market
-73.8530479,40.8493571,5175580257,2302,fast_food,Dunkin' Donuts
-73.8642383,40.8378969,5175580637,2501,supermarket,Bravo
-73.9985992,40.711993,5176785021,2302,fast_food,Captain Fried Chicken
-73.9967748,40.7119348,5176785022,2302,fast_food,Domino's
-73.9224225,40.7061395,5178499860,2303,cafe,Wyckoff Starr
-73.9449541,40.7167566,5178606491,2516,butcher,The Meat Hook
-73.8214519,40.7647292,5178723998,2501,supermarket,GreatWall SuperMarket
